path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section006',	0.521519,	X_NEG,	1.39625,	296.757,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section006',	0.521519,	Y_NEG,	1.40213,	299.284,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section006',	0.521519,	Z_NEG,	1.4275,	190.531,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section007',	0.520536,	X_NEG,	1.43286,	284.09,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section007',	0.520536,	Y_NEG,	1.40956,	308.868,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section007',	0.520536,	Z_NEG,	1.43314,	260.332,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section008',	0.517971,	X_NEG,	1.42167,	266.474,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section008',	0.517971,	Y_NEG,	1.40576,	226.473,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section008',	0.517971,	Z_NEG,	1.41483,	223.958,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section009',	0.492776,	X_NEG,	1.46053,	226.969,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section009',	0.492776,	Y_NEG,	1.44436,	259.389,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section009',	0.492776,	Z_NEG,	1.44024,	211.943,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	X_NEG,	1.37667,	195.995,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	Y_NEG,	1.3885,	167.948,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	Z_NEG,	1.4236,	142.986,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	X_NEG,	1.38245,	204.159,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	Y_NEG,	1.40429,	157.051,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	Z_NEG,	1.41256,	142.277,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	X_NEG,	1.35141,	195.33,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	Y_NEG,	1.37041,	180.61,	296,	296,	175,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	Z_NEG,	1.3925,	148.979,	296,	296,	175,	BICGSTABCPU
